Product Name,Product ID,   Price (in Euro)   ,Color,Brand,SKU,Sole-Type,Sale Percentage,  Sale Price  ,Season,Size
Trainers TOMMY HILFIGER,Runner Lo Leather Mix FM0FM03736 Desert Sky DW5,Ä 99.90,Navy Blue,Tommy Hilfiger,208903547,Flat,New, product not in sale ,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TOMMY HILFIGER,Iconic Leather Runner Stripes FM0FM03923 White YBR,Ä 99.90,White,Tommy Hilfiger,208901703,Flat,-22%,Ä 78.00,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45"
Trainers TOMMY HILFIGER,Craft Sustainable Modern Runner FM0FM03831 White YBR,Ä 139.90,White,Tommy Hilfiger,208901680,not defined,-6%,Ä 131.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TOMMY HILFIGER,Craft Sustainable Modern Runner FM0FM03831 Desert Sky DW5,Ä 139.90,Navy Blue,Tommy Hilfiger,208901673,not defined,-6%,Ä 131.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Trainers TOMMY HILFIGER,Cupsole Sustainable Leather Mix FM0FM03830 White YBR,Ä 139.90,White,Tommy Hilfiger,208901666,Flat,-17%,Ä 116.00,All year round,"41 , 42 , 43 , 44 , 45 , 46"
Trainers TOMMY HILFIGER,Cupsole Sustainable Leather Mix FM0FM03830 Desert Sky DW5,Ä 139.90,Navy Blue,Tommy Hilfiger,208901659,Flat,-11%,Ä 124.00,All year round,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Boots TOMMY HILFIGER,Outdoor Suede Hilfiger Boot FM0FM03817 Cocoa GT6,Ä 139.90,Brown,Tommy Hilfiger,208901611,Flat,-9%,Ä 128.00,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Boots TOMMY HILFIGER,Outdoor Suede Hilfiger Boot FM0FM03817 Desert Sky DW5,Ä 139.90,Navy Blue,Tommy Hilfiger,208901604,not defined,New, product not in sale ,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45 , 46"
Chelsea boots TOMMY HILFIGER,Classic Suede Chelsea FM0FM03816 Desert Sky DW5,Ä 139.90,Navy Blue,Tommy Hilfiger,208901598,Flat,-4%,Ä 135.00,Fall/Winter,"40 , 41 , 42 , 43 , 44 , 45"
Trainers TOMMY HILFIGER,Essential Runner Winter Leather FM0FM03814 Black BDS,Ä 109.90,Black,Tommy Hilfiger,208901581,not defined,New, product not in sale ,All year round,43
